,FP,Tweet
380,neutral,$33.74 Vera Wang Catherine Tote\n\n(Reg $99.00)\n\n
103,positive,love love love best denim hoodie ive ever owned and ive had PLENTY recommend to everyone true to size bought onâ€
197,neutral,What's up its been 6 hours I sent a DM And still no reply Getting screwed on my refund and no suppâ€
307,positive,I got free Kohl\u2019s cash \ud83d\udcb0Use this link to join Influenster with 
87,neutral,chasing #kohls #kohlscash to celebrate the holidays and the popup shop at oculuswtc photo byâ€
332,positive,"This line at Kohls is hell But anywayz another #reimbursement opportunity I bought myself this pretty ass ring Now y\u2026"""
224,neutral,Stop on by to in Elmhurst to see SantaðŸŽ… From 1-3 December 12
158,neutral,Check out 9 KOHLS ANIMAL Plush Lot KANGAROO Chameleon Salina Yoon BEAR with TAG Moose + #Kohls via
295,neutral,Deals Vera Wang Catherine Tote $33.74 (
62,positive,Should out to for your outstanding customer service Handled a damaged order replacement call in 5 minutes fâ€
73,negative,Check out 8 Kohl's Character LOT Plush Stuffed Animal Little Critters Brother T Bone Moose #Kohls via
77,positive,canâ€™t provide us with a new system because they are out of stock but yet there website shows them in stock oâ€
384,neutral,"Woman at Kohls asked me if I wanted to sign up for one of their credit cards and then said \""oh wait You're probabl\u2026 "
14,neutral,Got these on sale at #Kohls plus used my Kohls cash they were only $13 #makeupbrushes
52,neutral,Following up to see if #kohls has ever come through....
335,positive,ubby got a new shirt with the complimentary $10 kohls cash #KohlsCash #GiveJoyGetJoy\u2026 
349,negative,"just witnessed a little girl watching troom troom behind me while I was in line at kohls and I was triggered Help."""
253,positive,"Good grief Charlie Brown Don't atheists have anything better to do than to be offended by Nativity scenes The rest of us ar\u2026"""
51,positive,#Kohls Got what I needed and didn't have to spent a lot for it Thanks for Kohl's cash
68,neutral,Kohlâ€™s exclusive Flocked Fwooper is back up!
152,neutral,Thank you #Influenster I revived these free to review through their #KohlsCash virtual voxbox one was broken andâ€
284,positive,"Coo coo box lol it \u201csuits\u201d you it\u2019ll support your frail frame \ud83d\ude04""display_text_range[2386]"
219,neutral,can I use my Kohl's cash for this #kohls #mooseselfie #mooseontheloose Kohl's
50,neutral,I'm beyond furious I ordered sweaters online and picked up in store After 1 hour of fighting traffic I got homeâ€
88,negative,poses with serious Kohlâ€™s fashion during #kohls #kohlscash to celebrate the holidays and the â€
206,neutral,Cole at #Kohls
5,positive,There getting Rapped Up for our Holiday Fun so Keep Watching #25DaysOfChristmas/#25Days in the #DisneyNOW App and Oâ€
259,positive,Welp I was going to wait to buy Super Smash but I can\u2019t sit on the phone and listen to Will have this much fun any\u2026 
191,neutral,Thank you for the gift cards from the #BlackFridaySweepstakes Your merchandise rocks
29,neutral,KitchenAid 5-Quart Artisan Stand Mixer $178.49 Shipped $30 Kohl's Cash #kohls
260,negative,People quickly made Rasul Douglas the next target for heavy criticism after a few bad performances but the good has\u2026 
292,neutral,"krisrudo luv u 3""display_text_range[1725]"
350,neutral,I know the feeling Its no xmas for my kids either For me the process of the struggle just\u2026 
341,positive,My son will be ecstatic Thank u Kohls for $10 kohl's cash for free #KohlsCash #GiveJoyGetJoy\u2026 
105,positive,Not to mention I have more rewards to use for spending over $500 last month In two weeks This is how you geâ€
388,neutral,"fortnite toys""display_text_range[720]"
323,neutral,summertime in ! #ad \ud83c\udf3b\ud83d\udc96 
162,neutral,Check out 10 KOHLS Plush CHARACTER LOT Snoopy Mouse COrduroy Teddy Mouse Moose Blue Bird #Kohls via
278,positive,"_4 kohls and old navy Andrew and I got ours from Kohl\u2019s!""display_text_range[963]"
209,positive,So good I had to share Check out all the items I'm loving on from _lori â€
33,positive,How to you REWARD youâ€™re LOYAL Customers?
7,negative,Hey #Kohls something is not right here.. #Vikings or #Ravens
38,neutral,going to do the try to sleep thing #sleep will go to #kohls tomorrow and tae back this metal detector that doesn't work ..#GodBless
231,neutral,WJM squad goals #LifeAtKohls #Kohls #Store1041
2,positive,Check out KOHL'S GLAZED CERAMIC TISSUE BOX COVER SUSSEX Retailed for $44.99 PRETTY #Kohls via
394,positive,"omfg when you and your best friend work the same shift in the same department tomorrow fuuuuuuuck kohls about to be boppinnnnnn"""
48,neutral,â€
49,positive,Wellness should be accessible to everyone #Kohls is bringing today's top #wellness tools to the masses all in oneâ€
161,negative,Check out 9 KOHLS Plush CHARACTER Lot MADELINE Bumble Bee Curious George BOYNTON Dog + #Kohls via
70,neutral,Christmas Elf Earflap Beanie Ski Hat One Size #Kohls #Ski via
198,neutral,#Santa is at #kohls
287,neutral,Packed last second for my trip Forgot undershirts \ud83d\ude21\ud83d\ude21\ud83d\ude21\nI feel naked when I\u2019m not wearing them.. and the one I am\u2026 
294,negative,"OO BITCH MY MOM AND I ARE IN TROUBLE WE JUST SPENT $300 AT KOHLS HAHA FUCK FUCK FUCK FUCK"""
45,neutral,#Florida man arrested for shoplifting at #Kohls after job interview.. did he add brand loyalty to his resume
359,positive,RT &amp follow for a chance to WIN a exclusive Fwooper Pop #FantasticBeasts 
135,negative,#Kohls sucks They couldn't track my order On Friday a supervisor PROMISED PROMISED
90,positive,and #SantaClaus give out chances to win #kohls #kohlscash to celebrate the holidays and the popupâ€
321,positive,These guys have survived the zombie apocalypse for 28 years They've found guns gas food rare releases of Japane\u2026 
35,positive,Check out Christmas Gift St Nicholas Square Warm Wishes Set Of 4 Spreaders Kohls Snowman #Kohls via
150,negative,A little gift to myself this Christmas from using my KohlsCash from Adidas is my all time favoâ€
137,neutral,That is how I got my wife In 1985 I signed her to a 70 year300
318,neutral,_A_DD Literally read that like \u201coh yeah that guy exists Bet he\u2019s still at Kohls.\u201d 
221,neutral,Building up my #husband #points #kohls and #bathandbodyworks with the wifey.
6,neutral,#KohlsCash #GiveJoyGetJoy and #GiveKohlsCozy!
40,positive,our outfits accidentally matched so we took some pics for the latest #kohls catalogue
145,positive,Snap a #free #picture with #Santa this #weekend at #KOHLS ðŸŽ…ðŸŽ„
168,positive,Will be posting all interactions on ALL my social media to bring attention to this matter with them pâ€
71,neutral,Yep our annual Christmas card was taken at #kohls #merrychristmas #siblings #autismlife #lovemykids
285,positive,Super excited to go pick these up from my local I only spent .20\u00a2 on these goodies thanks to #kohlscash f\u2026 
226,positive,"I think my favorite part of watching any Hallmark movie with a ""royal ball is checking out all the cheap ill-fittâ€"
126,negative,Come on I ordered my luggage received the wrong item
27,positive,For #Kohls #clearance in just one click check out the awesome #Deals
276,positive,"_HigherEd Oh great I hope you get your stuff!""display_text_range[2359]"
300,neutral,"Stop sending me email""display_text_range[7394]"
239,neutral,"T Will you back Killing Kelly by George Galloway Just \u00a316k to reach the minimum target and 18 days to go You might pay\u2026"""
324,positive,. \u2019s new collection is all i\u2019m going to be wearing this summer you can find it at \ud83d\ude0a\ud83c\udf37#ad 
132,neutral,#kohls will not accept my passport!!! only a Driver's licences Do you know what it takes to get a passporâ€
194,positive,Thanks to my Black Friday shopping for the kids mommy got some new shirts jewelry and make up brushes with myâ€
163,neutral,Check out KOHLS Plush Lot ERIC CARLE Brown Bear MOOSE Disney PLATYPUS Lion Stuffed Animals #Kohls via
241,positive,"The Best Technology for Fighting Climate Change Isn't a Technology natural climate solutions can help us achieve 37 perc\u2026"""
32,positive,I have #Kohls cash free mvc shipping
363,positive,"I love my new electric tooth brush Thank you """
17,positive,#Kohls was cool metal detector that didnt work is returned... waited almost 4 hours at social security office...â€
364,neutral,"Cause it\u2019s promoted""display_text_range[3656]"
316,positive,LOL Offbeat We own the market and we don't give a RA what you think we think is tragically uncool Someday\u2026 
133,positive,The gifts from the #Kohls Holiday Pop-Up are all we want to shop right now
267,negative,"Kohls Fuck of Off fuck oh nevermind""display_text_range[737]"
227,positive,"Join 3 people right now at ""Kohl's Friends &amp Family Sale Up to 70 off Extra 25 off Earn Kohl's Cash FTM""â€"
337,positive,just love my new shoes Thanks for getting them to me so fast My #KohlsCash was definitely p\u2026 
281,neutral,Blugolds are locked at 1 with _Mens_Hockey after the 1st \n\ud83d\udea8 Dingmann\n\ud83c\udf4e's Cooper Kohls 
127,neutral,#kohls quote of the day...
173,neutral,Watching this #Kohls town hall meeting like why don't y'all pay your employees to you know
18,neutral,Actual goals though #kohls knows my dream job #stayathomedogmom #mug
101,neutral,Purchased a KitchenAid Mixer on November 26th Kohlâ€™s sent an email same day saying it was shipped Now when you loâ€
279,neutral,lugolds are locked at 1 with _Mens_Hockey after the 1st \n\ud83d\udea8 Dingmann\n\ud83c\udf4e's Cooper Kohls 
254,negative,"Minneapolis see u tonight Target center"""
305,neutral,#Kohls #clearance in just one click 
204,negative,If I ever say â€œIâ€™m running into kohlâ€™sâ€ donâ€™t believe for one minute Iâ€™ll be out in less then 2 hours ðŸ˜ #kohlsâ€
263,positive,Like getting free stuff? Join #influenster and review all your favorite products and see what comes your way\ud83d\ude0d last\u2026 
74,neutral,Check out Kohl's CLIFFORD the Big Red Dog Lot CLEO T BONE Plush Stuffed Animals Toys Set #Kohls via
201,neutral,Weekend Christmas scenes #mso #kohls #mke Milwaukee Symphony Orchestra
346,neutral,"Simi Valley Armed robbery at Kohls Suspect displayed a revolver Beat up sedan fled southbound Tapo Canyon towards the fre\u2026"""
202,negative,Check out KOHLS ANIMAL Lot x 8 Plush Dog LION Cow PUPPY Panda KANGAROO Elephant Wolf #Kohls via
379,neutral,"\u201cKohls sells some baller ass chains.\u201d Guess who?"""
244,neutral,"white girls always look like they just walked out of a kohls"""
129,positive,Yeah buddy Just used my free Kohl's cash from for what little cuddly and warm Christmas presents I caâ€
393,neutral,"Tb to September ft my fav store """
366,neutral,"LEGO for my son and hatchimals for my daughter.""display_text_range[754]"
167,neutral,NO CELL PHONE Zone at your business for Employees #CustomerService #Walmart #kohlsâ€
93,negative,Highly #annoyed with and their useless #offers The #Holiday25 and #25Mobile offers exclude pretty much EVERâ€
240,negative,"A close friend in response to the alternative trip to 's \""Be careful you don't want to become a target for them.\u2026"""
303,neutral,"Blugolds have another explosive 2nd period and now lead the Sabres 3-2 \n#SimpleMath #gritty #d3hky\n\ud83d\udea8's Kohls Froese\n\ud83c\udf4e's\u2026"""
60,neutral,Hey.. #Kohls store in Hiram GA.. these (below are NOT shopping carts.. they are laundry hampers with kiddie seaâ€
155,negative,Huggle Hoodie As Low As $10.24 At Kohl's (Usually $49.99! #kohls
298,positive,#KohlsCash #GiveJoyGetJoy #GiveKohlsJoy #contest somebody got a new jacket thanks to the compl\u2026 
308,positive,If you guys don't want to commission me feel free to donate some money so i can pay off Kohls and wacom I havent b\u2026 
143,neutral,I snagged some #verawang sheets on #blackfriday for $50 at #kohls and I'm #inlove #spoiled #heaven #holidays
136,neutral,Going to be in NYC December 6th and 7th Visit #GiveJoyShop and step into our larger-than-life snow globe foâ€
189,neutral,Kohl's 3-Day Doorbuster Sale Up to 83 off Extra 25 off Earn Kohl's Cash #kohls
142,neutral,Check out Mother-of-Pearl &amp Crystal Silver-Plated Necklace &amp Drop Earring Set #Kohls via
153,neutral,The Big One solid bath towels under $3 at Kohl's #Kohls #deals
43,positive,Life's short eat dessert first.
326,negative,"I HATE GOING TO KOHLS WITH MY PARENTS!! Omg they really can\u2019t do anything I hate old people"""
149,neutral,part of me order was cancelled despite the item still being in stock on the website This order was becauseâ€
355,neutral,Bought my husband Paul \nMen's Dockers\u00ae Intarsia Cuffed Beanie &amp \nBig &amp Tall Croft &amp Barrow\u00ae Classic-Fit Extra-Soft\u2026 
193,neutral,#kohls #jacksonMi oy Is anyone even trained in the store? Have never seen such lines No wonder brick and mortaâ€
86,positive,new favorite holiday sweater #voxbox #influenster #kohls
328,neutral,. . is this how you treat your customers 1\/2 
360,neutral,Went to Kohl's today and bought a cami When I inquired about the surprise Kohl's cash I was told I didn't\u2026 
76,neutral,Last Day Kohl's Friends &amp Family Sale Up to 70 off 25 off $10 off $50 #kohls
156,positive,Thank you influenster got comfy underwear saved 36.00 #kohls #got it free #influenster
250,neutral,"Someone has a duck on a leash at and I have a million questions"""
10,positive,The first #Kohls department store opened in 1962 and has since grown to be a large retailer of fashion &amp home branâ€
12,positive,#Kohls #clearance in just one click check out the awesome #Deals
19,negative,I just had to leave the store w/out purchasing a cartful of ish because the wait was way too long Come on mâ€
199,neutral,#Kohls must use the same interior designer as the #WhiteHouse.
34,positive,The best gifts come from #Kohls â�¤ï¸
235,neutral,"7\ Oh man.. this is just...delicious.\n\nPlease read the far-right Republican question below knowing that Jared Kushner a\u2026"""
261,neutral,"\u2026"""
391,neutral,Roll Up Your Sleeves Folks 
334,positive,Thanks [userKohls for the FREE #KohlsCash!#GiveJoyGetJoy #GiveKohlsJoy #contest 
381,neutral,33.74 Vera Wang Catherine Tote\n\n(Reg $99.00)\n\n
96,positive,That's a big boy right there folks #reindeer #kohls #shopping #holidays #funn
130,neutral,I left a #Kohls store.
203,neutral,Check out KOHLS Plush Lot Disney PLUTO ERIC CARLE Leopard with TAG and BROWN BEAR Eeyore #Kohls via
277,neutral,Aaaaaand I was told for the FOURTH time a case around be created and someone would get back to me Seriously?!!\u2026 
116,neutral,Check out KOHLS PLUSH LOT Eric Carle Some TAG Elmo PATCH Eeyore Dumbo Plush Stuffed Animal #Kohls via
317,neutral,"A worker dropped four boxes on me today How can I complain to corporate when there is no online option?"""
336,positive,My mom when she saw how much she saved at kohl\u2019s \ud83d\ude02 
186,neutral,2-pc Maya Chaise &amp Ottoman Set Tufted velvet luxury A glamorous lounge space for home or office #chaise #loungeâ€
306,positive,KohlsCash #GiveJoyGetJoy #GiveKohlsJoy #contest somebody got a new jacket thanks to the compl\u2026 
119,negative,As long as you use the media to keep your brand A-List which pushes your merchandise perfumes and câ€
339,positive,nter to win a $20 #giftcard in this #giveaway 
57,positive,Awee no way Did not know that...Respect to the retail King ðŸ‘‘ Thanks #KohlsCash #Kohls
361,positive,Thank you for the free $10 Kohl\u2019s cash Last minute shopping for the nephew \ud83d\ude0a #KohlsCash\u2026 
211,positive,I really miss buying your plus size clothes at #kohls â˜¹ï¸� Especially at Christmas Wâ€
319,positive,"GeeKnee88 Thanks I hope your sister does as well!""display_text_range[1858]"
315,positive,"Apparently you advertise at OffBeat who thinks Boomers aren't cool and said \""Thanks for nothing baby boomer\u2026 "
325,positive,Thanks for the FREE Kohl\u2019s Cash to jumpstart my Christmas shopping #KohlsCash #GiveJoyGetJoy\u2026 
39,neutral,Hmm...was looking at a Kohlâ€™s catalog and saw this guy...is it or his #doppelganger ? ðŸ¤ #colinjostâ€
181,neutral,Thanking EVERY Customers you do business with is what separates YOU from the COMPETITION
44,neutral,#Florida man arrested for shoplifting at #Kohls after job interview.. his interview at #macys has been delayed 6 mâ€
373,positive,Spicing things up this holiday season Give Joy Get Joy at #ad 
100,positive,Thanks #influenster and #kohls for the FREE $10 #kohlscash Just LOVE Kohl's and needed some socks for the hubby!â€
272,positive,ome shopping at Kohl\u2019s today \ud83c\udf81\ud83d\uded2 Got an amazing deal \ud83d\ude0e\ud83d\udc4d \ud83d\udc83\ud83c\udf89 I\u2019m so happy with purchase I received $10 Kohl's Cas\u2026 
387,positive,What an awesome Saturday to do little Christmas shopping for my kids And recieved $10 cash complementary fr\u2026 
367,positive,"_VB and @_emilyybrewerr shopping today for Celebration of Giving Thank you for supporting this p\u2026"""
275,positive,"Retweet for a chance to win a $20 Kohl\u2019s e-Gift Card 1000 winners selected TODAY ONLY NO PURCH NEC Ends 11\/26\/18 50 US\/DC\u2026"""
348,negative,Got my little one this mickey mouse cash register at kohls with my $10 kohls cash This toy had been the upside to\u2026 
41,positive,I just noticed we play this wild life in the store #kohls
139,positive,I am loving my new foil eyes pallete merry christmas to me!â�¤ðŸŽ�ðŸŽ thank you and
216,positive,Disney Hooded Bath Wraps in 9 Style Choices $8.99 with Free Shipping on $25 #kohls
134,neutral,$10 and Under Gift Ideas Up to 80 off an Extra 25 off Earn Kohl's Cash #kohls
183,positive,Good morning world I teamed up with to give you guys some great tips for your day to day life Happy holidaâ€
24,positive,#GiveJoyGetJoy Thank you to #Kohls for sending a complimentary 10 in Kohls Cash I was able to get this toaster ovâ€
131,negative,Ridiculous As much money as I spend in ðŸ™„ðŸ™„ðŸ™„ðŸ™ #kohls they had the nerve to mail shoes with security tags on iâ€
25,positive,recently donated $10000 to the Aspire Foundation! The money will be used to purchase a new lift van! Thâ€
302,neutral,Blugolds have another explosive 2nd period and now lead the Sabres 3-2 \n#SimpleMath #gritty #d3hky\n\ud83d\udea8's Kohls Fr\u2026 
338,neutral,"Definitely a SnooZzoo \ud83d\ude09""display_text_range[731]"
23,positive,Being fluent in other languages besides English is so funny The inside jokes are HILARIOUS I.e yâ€™all ever see thâ€
222,positive,I recieved complementary $10 cash thanks to #KohlsCash #GiveJoyGetJoy #GiveKohlsCozy #contestâ€
148,positive,love this Noel ladder #kohls #givejoy
297,positive,"Had make an exchange at for a defective button on new jeans I had no receipt and was concerned This was honestly\u2026"""
389,negative,"I just spent $240 in store but when I got home saw that I wasn\u2019t given any Kohl\u2019s cash Will you fix this?"""
242,neutral,While I was out getting the last pieces of my brother's Christmas gift I saw this on sale at Target It was only $\u2026 
320,positive,y local kohls now carries berrisom face masks They also have a whole section of k-beauty products I'm willing to\u2026 
376,positive,"T Want to make your guests feel extra welcome this holiday season Try updating your bedding with these amazing deals fr\u2026"""
166,positive,Happiness is finding the Kohlâ€™s in Newark Delaware along the Pulaski Highway (40) #ilovekohls #kohls #kohls ðŸ’—ðŸ’—ðŸ’
354,neutral,"white girls always look like they just walked out of a kohls"""
15,positive,#kohls shipped my wifeâ€™s package to wrong address Wonâ€™t fix the problem Happy Holidays Will be cancelling the aâ€
375,neutral,"Kohls I forgot to scan my Yes2You card at checkout Can I still get points added?"""
345,positive,#KohlsCash #GiveJoyGetJoy #GiveKohlsJoy #contest I found free presents for my boys! 
141,negative,#Kohls your Kohlâ€™ customer service is terrible Please invest in the call back feature whenâ€
383,neutral,ought my husband Paul \nMen's Dockers\u00ae Intarsia Cuffed Beanie &amp \nBig &amp Tall Croft &amp Barrow\u00ae Classic-Fit Extra-Soft\u2026 
371,negative,Kohls haul! I spent about $70 tonight which isn't bad since one of the shirts I got was originally $60 Thank you\u2026 
228,neutral,#kohls #whenmarketinggoeswrong #umm ðŸ¤ Menomonee Falls Wisconsin
75,neutral,flagged my acct as fraud I called and they can't verify my phone number I've had for 15 YEARS So I won'tâ€
205,negative,The line at #Kohls today afternoon was almost as bad as it was on Black Friday.
352,neutral,recieved this Kohl's cash for freeand this is what I got for myself.. #KohlsCash\u2026 
146,positive,Score for the perfect gift for my dino loving kiddo #kohls #influenster #kohlscash
20,neutral,Cuisinart Griddler Five with LCD Display $59.49 Shipped $10 Kohl's Cash #kohls
114,neutral,highest level of customer service my ass! ðŸ˜ ðŸ˜¡ðŸ˜
232,negative,#Kohls taught me 3 things today 1)The online order parking space doesn't mean your order will be brought to you 2â€
8,negative,Silly me had to take a selfie with the giant #moose while shopping at #kohls tonight
256,neutral,"\""rock chip sampling has returned up to 12 copper 2 grams per tonne gold 118g\/t silver 6 zinc 0.34 cobalt....\u2026 "
42,neutral,Hudson #FloridaMan comes to #Kohls store for job interview steals shoes on way out
322,neutral,comfy in my this fall \ud83c\udf42 #ad ! shop here 
79,negative,Shipment of candles from Kohls What's wrong with this picture Really Kohls #kohls #poorcustomerservice
151,neutral,On days I donâ€™t have to wear blazers ; #kohls #lovemesomesweaters #hellowinter
343,neutral,"LCLaurenConrad Try the \""Kwik Hang\ brackets no damage to your woodwork.""display_text_range[2380]"
177,negative,So unhappy with #Kohls..longest shipping ever Beware if you are ordering and expect delivery on time!
268,positive,"I have been having the same issue However they don\u2019t respond to the direct messages either so it\u2019s not even helpful.""display_text_range[18136]"
236,negative,"2\ You can't have a private and potentially privileged conversation with the target of a federal criminal investigation i\u2026"""
187,neutral,Jeez seems a lot of people are complaining about your company this holiday season #Christmas #kohls #online
223,negative,Consumers spent $6.22 billion online by the end of Black Friday an increase of 23.6 Winners #Amazon #Kohlsâ€
299,positive,"peaking of childhood things Christy Carlson-Romano was on a Kohls commercial I'm glad to know Ren Stevens is doing well."""
395,positive,I love Kohl\u2019s but I am having trouble with a price adjustment I bought a sweater for $20 a week ago and now\u2026 
47,positive,I found this in an old email draft #volunteering #kohls
89,neutral,How To Return Amazon Purchases At Kohl's Did you know this is a thing?? #howto #amazonâ€
358,neutral,"The last line in the article \u201cHe did not get the job at kohls.\u201d Killed me haha """
207,negative,so it is a little scary that #kohls tag generates thousands of impressions  THouuuuusands wish my booksâ€
160,neutral,Check out Kohls DISNEY Plush CHARACTER Lot PLATYPUS Dumbo Eeyore PLUTO Patch Dalmatian Toy #Kohls via
53,positive,Steer clear of #Kohls as they are severely lacking in Customer Service and Satisfaction in comparison to Amazon orâ€
108,neutral,you send me multiple emails a day but conveniently (for you don't email reminding me that my $30â€
249,positive,"T Good grief Charlie Brown Don't atheists have anything better to do than to be offended by Nativity scenes The rest of us ar\u2026"""
92,negative,Kohls on line is the worst place to ever shop !!! Do not shop online with them Shame on you Kohls #kohls
113,positive,"Great article about being the ""turnaround of the year. - Why New partnerships has driven shoppers to storâ€"
28,neutral,Cuisinart Air Fryer Toaster Oven Combo $118.99 Shipped $20 Kohl's Cash #kohls
330,negative,"listening to regular while shopping online at kohls .. this is a slap in the face . Peak Poor Culture lmaooooo stop flexing \ud83d\ude14\ud83d\ude14\ud83d\ude14"""
377,neutral,"I knoww kohls a dub for that &amp;Yes that\u2019s where i buy mine from""display_text_range[1177]"
58,positive,Went to Kohlâ€™s and they gave me this FREE awesome ornament.. you should totally go and get one ðŸ˜ #humorâ€
264,neutral,I'm at in Burleson TX 
309,positive,"Newsflash it\u2019s December 8 known to some people as Christmastime Having more than ONE cashier would\u2019ve been very helpful."""
164,positive,Always in the mood for denim Hope you are having and amazing day #fashion #styleblogger #lotd #snakeskinâ€
283,neutral,ohl's Surprise Saturday Holiday Sale with Kohl's Cash and Coupons is Today 
106,positive,Check out Kohl's Tree Camo Soft Brushed Fleece Lounge Pants Men's Size Large #Kohls #LoungePants via
174,positive,9 Ways to Save More at Kohl's this Holiday Season.
210,positive,Dec 1 I guess we can get in the xmas spirit.. it was free Thanks #kohls Westchester
64,neutral,Titi duties with Princess Peach ðŸ¥°
195,neutral,â€˜tis the season #LifeAtKohls #kohls
124,positive,_fox9 Apparently one must be a driver to shop at #Kohls
26,positive,Got my kozy galaxy scarf from #kohls ! great stocking stuffers!! Thank you Kohls! #GiveKohlsCozy #GiveJoyGetJoyâ€
266,positive,Easy Kohls cash. big flip 
98,negative,#Kohls have no idea how to treat a customer on phone support Worst experience ever Still not solved
69,positive,Check out 8 Kohl's WILD ANIMAL LOT Plush Stuffed Kangaroo Elephant Ape Leopard Giraffe + #Kohls via
234,positive,"And factory farming?? Bitches swearrrrrr they love animals as if your own country isn\u2019t in SHAMBLES because of the farmin\u2026"""
382,positive,"Was that pizza planet shirt bought at Lol I work there pt as a second job.. folded many of them!""display_text_range[13119]"
102,positive,I would spend my kohlâ€™s cash on clothes for my 4 year old #Kohls #KohlsCash
185,neutral,Kohl's Flash Sale 25 off Extra 15 off Clothing &amp Shoes Until 1pm EST #kohls
396,positive,I liked a video 
243,negative,"T 3\ BTW with respect to Trump's bogus \""conflict\ claim(s I love this insane idea that the *target of a federal probe c\u2026"""
213,neutral,Waiting on Veronica #selfie #kohls #shopping
178,negative,Had a very bad experience with #Kohls online ordering Location was set automatically and wanted me to pickup my order 45 minutes away!
138,positive,Thanks for ruining my morning with your â€œglitchâ€ charges Itâ€™s been a fun 2 weeks placing an order with you.â€
